trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-75.37274741783126,"{0: 20, 1: 4, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-140.5014013489023,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-101.02684024618671,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-113.0811570423308,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-75.21799766879725,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-130.71255989017675,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,17,-17.18326399923241,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-30.809903893390903,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-73.54837541870867,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,3,-40.50126373751182,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-120.21179017979027,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-93.73714763163356,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-166.70263146643376,"{0: 24, 1: 1, 2: 6, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-119.92284968697331,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-141.09195743067627,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-162.2112017422064,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,7,-94.85037710725696,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-138.4381921530508,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-87.68246303813463,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,3,-102.08705030063372,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",25,0,-170.0297109413949,"{0: 16, 1: 1, 2: 2, 3: 4, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-58.699456296219424,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-22.283385435984254,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-139.1763526325875,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-226.60647898996524,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",30,0,-264.7014094744528,"{0: 15, 1: 2, 2: 5, 3: 5, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",30,5,-30.985611894158176,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-110.92987252533717,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-168.45157202656193,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",25,7,-43.5185096164409,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
