trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 0.999000499833375}",25,0,-89.91549385066493,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.001, 'e': 0.9980019986673331}",20,0,-41.70380902858042,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
3,False,"{'a': 0.001, 'e': 0.997004495503373}",20,0,-127.1886154453017,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.001, 'e': 0.9960079893439915}",30,0,-204.28232617692103,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
5,False,"{'a': 0.001, 'e': 0.9950124791926823}",20,0,-119.72073605467597,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.001, 'e': 0.9940179640539353}",25,0,-221.2844507280326,"{0: 13, 1: 3, 2: 2, 3: 4, 4: 3}",0
7,False,"{'a': 0.001, 'e': 0.9930244429332351}",25,0,-145.04473378123063,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.001, 'e': 0.9920319148370607}",30,0,-169.95377619743027,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.001, 'e': 0.9910403787728836}",30,0,-141.7878831535147,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.001, 'e': 0.9900498337491681}",20,0,-110.91312227425668,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.001, 'e': 0.9890602787753687}",25,12,-103.51839511900783,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 2}",1
12,False,"{'a': 0.001, 'e': 0.9880717128619305}",25,0,-95.08396472805174,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.001, 'e': 0.9870841350202876}",25,0,-151.11521431136197,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.001, 'e': 0.9860975442628619}",20,0,-82.1922916049125,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.001, 'e': 0.9851119396030626}",20,0,-148.4661033647722,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.001, 'e': 0.9841273200552851}",25,0,-130.39143269748416,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
17,False,"{'a': 0.001, 'e': 0.9831436846349096}",30,0,-152.37745270047736,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
18,False,"{'a': 0.001, 'e': 0.9821610323583008}",20,0,-74.66208162695156,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
19,False,"{'a': 0.001, 'e': 0.981179362242806}",20,0,-114.44338708297418,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.001, 'e': 0.9801986733067553}",30,0,-248.36567625456192,"{0: 15, 1: 3, 2: 7, 3: 1, 4: 4}",0
21,False,"{'a': 0.001, 'e': 0.9792189645694596}",20,6,-65.48887998981769,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 1}",1
22,False,"{'a': 0.001, 'e': 0.97824023505121}",25,15,15.260781756688104,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.001, 'e': 0.9772624837732771}",20,0,-208.7608551954505,"{0: 7, 1: 4, 2: 4, 3: 2, 4: 3}",0
24,False,"{'a': 0.001, 'e': 0.9762857097579093}",25,0,-91.49747083331313,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.001, 'e': 0.9753099120283326}",25,0,-62.56060565381404,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
26,False,"{'a': 0.001, 'e': 0.9743350896087494}",20,0,-66.44959528844551,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
27,False,"{'a': 0.001, 'e': 0.9733612415243368}",30,9,-59.34470768436254,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 1}",1
28,False,"{'a': 0.001, 'e': 0.9723883668012469}",25,0,-123.63968374024725,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
29,False,"{'a': 0.001, 'e': 0.9714164644666048}",25,0,-162.63309621553952,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
30,False,"{'a': 0.001, 'e': 0.9704455335485082}",30,0,-91.84131915076284,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
31,False,"{'a': 0.001, 'e': 0.9694755730760259}",20,0,-189.26830295575206,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
32,False,"{'a': 0.001, 'e': 0.9685065820791976}",20,0,-72.78953123121914,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
33,False,"{'a': 0.001, 'e': 0.967538559589032}",25,0,-144.8540036713421,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
34,False,"{'a': 0.001, 'e': 0.9665715046375066}",30,0,-205.38378857248097,"{0: 12, 1: 5, 2: 9, 3: 3, 4: 1}",0
35,False,"{'a': 0.001, 'e': 0.9656054162575665}",25,0,-96.01691111091635,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
36,False,"{'a': 0.001, 'e': 0.9646402934831231}",25,0,-86.73498623745058,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
37,False,"{'a': 0.001, 'e': 0.9636761353490535}",25,0,-85.90641901568974,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
38,False,"{'a': 0.001, 'e': 0.9627129408911995}",20,0,-262.12192881848637,"{0: 7, 1: 2, 2: 4, 3: 3, 4: 4}",0
39,False,"{'a': 0.001, 'e': 0.9617507091463667}",25,0,-155.2609534198282,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
40,False,"{'a': 0.001, 'e': 0.9607894391523232}",20,6,-32.18181289144933,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
41,False,"{'a': 0.001, 'e': 0.9598291299477989}",20,0,-197.3698654369115,"{0: 5, 1: 4, 2: 6, 3: 4, 4: 1}",0
42,False,"{'a': 0.001, 'e': 0.9588697805724845}",20,0,-137.39456213969575,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
43,False,"{'a': 0.001, 'e': 0.9579113900670306}",25,0,-108.09662769140297,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.001, 'e': 0.9569539574730467}",20,0,-61.07289015976708,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.001, 'e': 0.9559974818331}",30,0,-78.34500152268136,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.001, 'e': 0.9550419621907147}",25,0,-133.996271546002,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
47,False,"{'a': 0.001, 'e': 0.9540873975903711}",25,0,-157.02528085675635,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
48,False,"{'a': 0.001, 'e': 0.9531337870775047}",20,0,-59.28731277131349,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.001, 'e': 0.9521811296985049}",20,0,-139.2011575020791,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
50,False,"{'a': 0.001, 'e': 0.951229424500714}",20,0,-188.32484761049298,"{0: 8, 1: 3, 2: 4, 3: 3, 4: 2}",0
51,False,"{'a': 0.001, 'e': 0.950278670532427}",25,0,-63.51020543081147,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
52,False,"{'a': 0.001, 'e': 0.9493288668428895}",20,1,-177.21161681416564,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 4}",1
53,False,"{'a': 0.001, 'e': 0.9483800124822982}",30,4,-121.18288604753461,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 2}",1
54,False,"{'a': 0.001, 'e': 0.9474321065017983}",20,0,-78.9353718662237,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
55,False,"{'a': 0.001, 'e': 0.9464851479534838}",20,0,-48.51509874110892,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
56,False,"{'a': 0.001, 'e': 0.9455391358903963}",25,1,-133.54038211762585,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 2}",1
57,False,"{'a': 0.001, 'e': 0.9445940693665233}",20,0,-131.68996011935397,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
58,False,"{'a': 0.001, 'e': 0.9436499474367985}",25,0,-147.27427765722527,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
59,False,"{'a': 0.001, 'e': 0.9427067691570997}",30,0,-79.35606258062259,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.001, 'e': 0.9417645335842487}",20,0,-35.37204675195605,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.001, 'e': 0.9408232397760097}",30,0,-59.05713751054512,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
62,False,"{'a': 0.001, 'e': 0.9398828867910889}",30,3,-133.88854808935048,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 2}",1
63,False,"{'a': 0.001, 'e': 0.9389434736891332}",25,0,-30.079930607406126,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.001, 'e': 0.9380049995307295}",35,0,-199.830253232691,"{0: 18, 1: 5, 2: 9, 3: 1, 4: 2}",0
65,False,"{'a': 0.001, 'e': 0.9370674633774034}",20,0,-36.81907155562612,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
66,False,"{'a': 0.001, 'e': 0.9361308642916188}",25,0,-148.32006988667038,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
