trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.17988978699414,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,5,-23.877971804689327,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-3.901974911022956,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.86801630154693,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,4,-120.16707616368853,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-264.6013783286852,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 5}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,7,-80.99925319068413,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-188.17614336594474,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.48651751120399,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-229.715644056352,"{0: 15, 1: 3, 2: 7, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-26.69720625003114,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.67974387078475,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.89101213752026,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,14,-11.883346054932666,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.77236589673097,"{0: 10, 1: 9, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,4,-92.76015392352308,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.73336603377649,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,6,-112.70227364208198,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.16599805591613,"{0: 11, 1: 6, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.63859533662665,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-140.77636732731082,"{0: 16, 1: 4, 2: 6, 3: 4, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.70149006397014,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.20269803331547,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-64.47823394554167,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,5,-85.37588421738994,"{0: 6, 1: 3, 2: 4, 3: 2, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-197.6559622277264,"{0: 15, 1: 5, 2: 5, 3: 3, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.79401621270534,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,16,2.5833643172765655,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-28.73982190267898,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-104.86757584781168,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
